inc02,edu02,edu10,munocc,grossalary13,occinc13,frstsourcinc13,edu13,numworkers02,numworkers10,firmconc02,firmconc10,occ,duty02,duty10,duty13,nontraded
1.89786144305,11.0456989247,11.9207317073,101,2.78632992665,2.78632992665,0.0696582481663,10.0,2571.0,2331.0,0.048267187324,0.0372352321012,1,11.2825112108,3.22155622156,1.49038595813,0
1.89786144305,11.0456989247,11.9207317073,101,3.48291240832,3.48291240832,0.696582481663,16.0,2571.0,2331.0,0.048267187324,0.0372352321012,1,11.2825112108,3.22155622156,1.49038595813,0
0.965114559986,8.3125,7.5,201,0.688250808843,0.676135737054,0.187953433163,5.47058823529,121.5,99.5,0.236842105263,0.106303418803,1,11.2825112108,3.22155622156,1.49038595813,0
0.965114559986,8.3125,7.5,201,1.16680750056,1.15916499561,0.516570088791,3.94285714286,121.5,99.5,0.236842105263,0.106303418803,1,11.2825112108,3.22155622156,1.49038595813,0
0.808360069787,5.2,,202,1.26778011663,1.25802796188,,7.0,5.0,0.0,0.0485436893204,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
0.808360069787,5.2,,202,2.60676644249,2.58850050186,0.717479956113,5.33333333333,5.0,0.0,0.0485436893204,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
1.55205133399,7.0,12.0,203,0.862103747544,1.19867913445,0.555956410265,3.0,1.0,1.0,0.0126582278481,0.00531914893617,1,11.2825112108,3.22155622156,1.49038595813,0
1.09398062778,7.83333333333,8.0,204,0.818871406222,0.818252221794,0.557265985331,5.66666666667,6.0,1.0,0.0535714285714,0.00335570469799,1,11.2825112108,3.22155622156,1.49038595813,0
1.09398062778,7.83333333333,8.0,204,1.51601678282,1.57998838491,0.374059632783,4.90909090909,6.0,1.0,0.0535714285714,0.00335570469799,1,11.2825112108,3.22155622156,1.49038595813,0
0.808360069787,5.2,,205,1.12609523986,1.12609523986,0.919488875796,2.0,5.0,0.0,0.0485436893204,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
0.808360069787,5.2,,205,0.966492118327,0.966492118327,0.540044918423,3.76923076923,5.0,0.0,0.0485436893204,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
1.09398062778,7.83333333333,8.0,206,0.301852408721,0.299530467115,,3.0,6.0,1.0,0.0535714285714,0.00335570469799,1,11.2825112108,3.22155622156,1.49038595813,0
1.09398062778,7.83333333333,8.0,206,0.953778594983,1.12001597456,0.624408796758,5.38461538462,6.0,1.0,0.0535714285714,0.00335570469799,1,11.2825112108,3.22155622156,1.49038595813,0
1.55205133399,7.0,12.0,208,0.120740963488,0.239624373692,0.278632992665,6.0,1.0,1.0,0.0126582278481,0.00531914893617,1,11.2825112108,3.22155622156,1.49038595813,0
1.55205133399,7.0,12.0,208,0.75567800638,0.754664795498,0.325071824776,2.90909090909,1.0,1.0,0.0126582278481,0.00531914893617,1,11.2825112108,3.22155622156,1.49038595813,0
1.55205133399,7.0,12.0,209,0.789460145885,0.78713820428,0.0468258223785,5.25,1.0,1.0,0.0126582278481,0.00531914893617,1,11.2825112108,3.22155622156,1.49038595813,0
1.55205133399,7.0,12.0,209,0.737796945162,0.736635974359,0.323523863706,5.5,1.0,1.0,0.0126582278481,0.00531914893617,1,11.2825112108,3.22155622156,1.49038595813,0
1.0079662172,8.13636363636,9.75,301,0.549371383872,0.540548005771,0.47778128029,3.46666666667,59.5,42.5,0.295285359801,0.0786308973173,1,11.2825112108,3.22155622156,1.49038595813,0
1.0079662172,8.13636363636,9.75,301,0.729384449771,0.72403388868,11.0944406077,5.1,59.5,42.5,0.295285359801,0.0786308973173,1,11.2825112108,3.22155622156,1.49038595813,0
1.0079662172,8.13636363636,9.75,302,0.611057632526,0.588802174046,0.346433687547,2.36363636364,22.0,5.0,0.134146341463,0.00994035785288,1,11.2825112108,3.22155622156,1.49038595813,0
1.0079662172,8.13636363636,9.75,302,1.93980972434,1.93894728889,0.375771419733,2.71428571429,22.0,5.0,0.134146341463,0.00994035785288,1,11.2825112108,3.22155622156,1.49038595813,0
0.867639808238,8.83333333333,,303,1.34606271933,1.33425398773,0.574680547372,2.14285714286,6.0,0.0,0.0666666666667,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
0.867639808238,8.83333333333,,303,0.754259511145,0.753526266427,0.536368510881,3.11764705882,6.0,0.0,0.0666666666667,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
1.0079662172,8.13636363636,9.75,304,0.496895503586,0.487607737164,0.141638437938,6.6,22.0,5.0,0.134146341463,0.00994035785288,1,11.2825112108,3.22155622156,1.49038595813,0
1.0079662172,8.13636363636,9.75,305,1.16095753453,1.14271370763,0.270738391206,4.16666666667,22.0,5.0,0.134146341463,0.00994035785288,1,11.2825112108,3.22155622156,1.49038595813,0
6.0711455086,9.91176470588,13.0,401,0.362222890465,0.359436560538,,2.0,136.5,103.5,0.160777385159,0.065923566879,1,11.2825112108,3.22155622156,1.49038595813,0
6.0711455086,9.91176470588,13.0,401,1.09827837942,1.17507132089,0.214918915009,4.81818181818,136.5,103.5,0.160777385159,0.065923566879,1,11.2825112108,3.22155622156,1.49038595813,0
0.876666495683,6.875,,402,1.81111445232,1.79718280269,0.0696582481663,6.0,16.0,0.0,0.169312169312,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
0.876666495683,6.875,,402,0.513149094825,0.509201794096,0.146282321149,9.5,16.0,0.0,0.169312169312,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
1.29337611166,14.5,,403,0.515802742374,0.513978359684,1.25384846699,1.71428571429,2.0,0.0,0.0212765957447,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
1.29337611166,14.5,,403,0.794104029096,0.791410576834,0.278632992665,1.66666666667,2.0,0.0,0.0212765957447,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
1.29337611166,14.5,,404,0.181111445232,0.179718280269,,0.0,2.0,0.0,0.0212765957447,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
1.29337611166,14.5,,404,1.7258475967,1.71514086596,0.649756659285,7.88888888889,2.0,0.0,0.0212765957447,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
1.14312892002,8.41666666667,,405,1.53906029421,1.53631266331,1.02745916045,10.0,12.0,0.0,0.173913043478,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
